player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,7,43,00:25:46,40,40,0,0,1,1,0,0,0,0,0,0,0,0,2,101.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,7,44,00:26:09,40,AD,0,0,1,1,0,0,1,0,0,0,0,1,8,86.0,1,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,8,45,00:28:12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,112.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,8,46,00:28:47,15,0,0,0,1,0,0,0,0,0,0,0,0,0,3,121.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,8,47,00:29:13,15,15,1,1,0,0,0,0,0,0,0,0,0,0,2,117.0,0,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,8,48,00:29:49,30,15,0,0,1,0,0,0,0,0,0,0,0,0,5,122.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,8,49,00:30:26,30,30,0,0,1,0,0,0,0,0,0,0,0,0,5,121.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,8,50,00:30:56,30,40,1,1,0,0,0,0,0,0,0,0,0,0,2,114.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,8,51,00:31:37,40,40,0,0,1,0,0,0,0,0,0,0,0,0,3,123.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,8,52,00:32:18,40,AD,0,0,1,0,0,0,1,0,0,0,0,0,3,95.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,9,53,00:33:09,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,89.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,9,54,00:33:37,0,15,0,0,1,1,0,0,0,0,0,0,0,0,2,102.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,9,55,00:33:58,0,30,0,0,1,1,0,0,0,0,0,0,0,0,8,103.0,1,BW,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,1,9,56,00:34:42,0,40,0,0,1,1,0,0,1,1,0,0,0,1,2,84.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,1,57,00:37:19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,112.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,1,58,00:38:00,0,15,1,1,0,0,0,0,0,0,0,0,0,0,2,119.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,1,59,00:38:23,15,15,1,1,0,0,0,0,0,0,0,0,0,0,2,125.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,1,60,00:38:49,30,15,0,0,1,0,0,0,0,0,0,0,0,0,1,114.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,1,61,00:39:29,30,30,0,0,1,0,0,0,0,0,0,0,0,0,9,131.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,1,62,00:40:30,30,40,0,0,1,0,0,0,1,0,0,0,0,0,1,120.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,2,63,00:41:14,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,106.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,2,64,00:41:35,15,0,1,1,0,1,0,0,0,0,0,0,0,0,5,89.0,0,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,2,65,00:42:12,30,0,1,1,0,1,0,0,0,0,0,0,0,0,1,104.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,2,66,00:42:39,40,0,1,1,0,1,1,0,1,0,1,0,0,0,1,122.0,0,BC,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,3,67,00:43:35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,112.0,0,B,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,3,68,00:44:08,15,0,1,1,0,0,0,0,0,0,0,0,0,0,4,105.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,3,69,00:44:58,30,0,1,1,0,0,0,0,0,0,0,0,0,0,0,114.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,3,70,00:45:24,40,0,0,0,1,0,0,0,0,0,1,1,1,0,1,127.0,0,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,3,71,00:46:12,40,15,1,1,0,0,1,0,1,0,1,1,0,0,4,116.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,4,72,00:48:23,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,104.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,4,73,00:48:41,15,0,1,1,0,1,0,0,0,0,0,0,0,0,1,120.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,4,74,00:49:00,30,0,1,1,0,1,0,0,0,0,0,0,0,0,1,110.0,0,BW,NCTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,4,75,00:49:32,40,0,0,0,1,1,0,0,0,0,1,0,0,0,2,122.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,4,76,00:49:50,40,15,1,1,0,1,1,0,1,0,1,0,0,0,1,110.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,5,77,00:50:14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,121.0,0,C,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,5,78,00:50:26,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,127.0,0,C,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,5,79,00:50:54,15,15,0,0,1,0,0,0,0,0,0,0,0,0,7,125.0,1,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,5,80,00:51:44,15,30,0,0,1,0,0,0,0,0,0,0,0,0,1,119.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,5,81,00:52:01,15,40,0,0,1,0,0,0,1,0,0,0,0,0,1,110.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,82,00:53:36,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,98.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,83,00:54:03,0,15,0,0,1,1,0,0,0,0,0,0,0,0,4,100.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,84,00:54:28,0,30,0,0,1,1,0,0,0,0,0,0,0,0,2,90.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,85,00:55:08,0,40,1,1,0,1,0,0,0,0,0,0,0,0,3,107.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,86,00:55:42,15,40,1,1,0,1,0,0,0,0,0,0,0,0,1,105.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,87,00:56:00,30,40,1,1,0,1,0,0,0,0,0,0,0,0,3,79.0,0,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,88,00:56:40,40,40,0,0,1,1,0,0,0,0,0,0,0,0,2,98.0,0,W,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,89,00:57:05,40,AD,1,1,0,1,0,0,0,0,0,0,0,0,5,111.0,1,C,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,90,00:58:00,40,40,0,0,1,1,0,0,0,0,0,0,0,0,4,85.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,91,00:58:40,40,AD,1,1,0,1,0,0,0,0,0,0,0,0,7,109.0,1,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,92,00:59:22,40,40,1,1,0,1,0,0,0,0,0,0,0,0,1,108.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,93,00:59:47,AD,40,0,0,1,1,0,0,0,0,1,0,0,0,10,109.0,1,BC,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,94,01:00:35,40,40,0,0,1,1,0,0,0,0,0,0,0,0,4,104.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,95,01:01:03,40,AD,1,1,0,1,0,0,0,0,0,0,0,0,5,114.0,1,C,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,96,01:01:41,40,40,0,0,1,1,0,0,0,0,0,0,0,0,2,103.0,1,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,6,97,01:02:09,40,AD,0,0,1,1,0,0,1,0,0,0,0,1,2,87.0,0,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,7,98,01:03:01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,112.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,7,99,01:03:19,0,15,0,0,1,0,0,0,0,0,0,0,0,0,1,110.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,7,100,01:03:35,0,30,1,1,0,0,0,0,0,0,0,0,0,0,4,128.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,7,101,01:04:06,15,30,1,1,0,0,0,0,0,0,0,0,0,0,4,120.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,7,102,01:04:47,30,30,1,1,0,0,0,0,0,0,0,0,0,0,0,92.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,7,103,01:05:19,40,30,1,1,0,0,1,0,1,0,1,1,0,0,8,106.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,8,104,01:07:28,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,94.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,8,105,01:07:56,15,0,1,1,0,1,0,0,0,0,0,0,0,0,1,110.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,8,106,01:08:13,30,0,1,1,0,1,0,0,0,0,0,0,0,0,1,128.0,0,B,NCTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,8,107,01:08:32,40,0,1,1,0,1,1,0,1,0,1,0,0,0,1,94.0,0,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,9,108,01:09:22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,115.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,9,109,01:09:44,0,15,0,0,1,0,0,0,0,0,0,0,0,0,1,104.0,0,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,9,110,01:10:08,0,30,0,0,1,0,0,0,0,0,0,0,0,0,5,125.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,9,111,01:10:26,0,40,0,0,1,0,0,0,1,0,0,0,0,0,1,114.0,0,B,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,10,112,01:12:07,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,123.0,0,BC,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,10,113,01:12:32,15,0,1,1,0,1,0,0,0,0,0,0,0,0,5,108.0,0,C,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,10,114,01:13:15,30,0,1,1,0,1,0,0,0,0,0,0,0,0,1,107.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,2,10,115,01:13:40,40,0,1,1,0,1,1,1,1,1,1,0,0,0,1,84.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,1,116,01:17:50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,104.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,1,117,01:18:09,0,15,0,0,1,0,0,0,0,0,0,0,0,0,7,119.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,1,118,01:18:32,0,30,0,0,1,0,0,0,0,0,0,0,0,0,3,126.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,1,119,01:19:02,0,40,1,1,0,0,0,0,0,0,0,0,0,0,0,114.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,1,120,01:19:31,15,40,0,0,1,0,0,0,1,0,0,0,0,0,3,121.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,2,121,01:20:24,0,0,1,1,0,1,0,0,0,0,0,0,0,0,11,94.0,0,B,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,2,122,01:49:12,15,0,1,1,0,1,0,0,0,0,0,0,0,0,3,108.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,2,123,01:49:33,30,0,0,0,1,1,0,0,0,0,0,0,0,0,6,94.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,2,124,01:50:19,30,15,1,1,0,1,0,0,0,0,0,0,0,0,5,111.0,1,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,2,125,01:50:48,40,15,1,1,0,1,1,0,1,0,1,0,0,0,1,107.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,3,126,01:51:20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,106.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,3,127,01:51:47,15,0,1,1,0,0,0,0,0,0,0,0,0,0,2,121.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,3,128,01:52:07,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,108.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,3,129,01:52:28,30,15,0,0,1,0,0,0,0,0,0,0,0,0,1,115.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,3,130,01:52:54,30,30,1,1,0,0,0,0,0,0,0,0,0,0,2,113.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,3,131,01:53:32,40,30,1,1,0,0,1,0,1,0,1,1,0,0,8,121.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,4,132,01:55:22,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,100.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,4,133,01:55:49,15,0,1,1,0,1,0,0,0,0,0,0,0,0,5,116.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,4,134,01:56:15,30,0,1,1,0,1,0,0,0,0,0,0,0,0,1,109.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,4,135,01:56:33,40,0,0,0,1,1,0,0,0,0,1,0,0,0,2,100.0,0,BC,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,4,136,01:56:58,40,15,1,1,0,1,1,0,1,0,1,0,0,0,1,102.0,0,W,CTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,5,137,01:57:22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,126.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,5,138,01:57:55,0,15,0,0,1,0,0,0,0,0,0,0,0,0,1,114.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,5,139,01:58:10,0,30,0,0,1,0,0,0,0,0,0,0,0,0,1,124.0,0,BC,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,5,140,01:58:31,0,40,0,0,1,0,0,0,1,0,0,0,0,0,3,119.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,6,141,02:00:20,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,87.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,6,142,02:00:50,0,15,0,0,1,1,0,0,0,0,0,0,0,0,4,103.0,0,B,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,6,143,02:01:17,0,30,1,1,0,1,0,0,0,0,0,0,0,0,1,107.0,0,W,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,6,144,02:01:39,15,30,1,1,0,1,0,0,0,0,0,0,0,0,9,88.0,1,B,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,6,145,02:02:36,30,30,1,1,0,1,0,0,0,0,0,0,0,0,11,87.0,0,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,6,146,02:03:32,40,30,0,0,1,1,0,0,0,0,1,0,0,0,6,85.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,6,147,02:04:24,40,40,1,1,0,1,0,0,0,0,0,0,0,0,1,121.0,0,W,CTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,6,148,02:04:45,AD,40,1,1,0,1,1,0,1,0,1,0,0,0,1,110.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,7,149,02:05:44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,116.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,7,150,02:06:11,0,15,0,0,1,0,0,0,0,0,0,0,0,0,1,118.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,7,151,02:06:27,0,30,1,1,0,0,0,0,0,0,0,0,0,0,2,96.0,0,BC,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,7,152,02:07:02,15,30,0,0,1,0,0,0,0,0,0,0,0,0,1,119.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,7,153,02:07:28,15,40,0,0,1,0,0,0,1,0,0,0,0,0,5,132.0,0,BC,NCTL,
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,8,154,02:09:05,0,0,1,1,0,1,0,0,0,0,0,0,0,0,7,124.0,0,C,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,8,155,02:09:52,15,0,1,1,0,1,0,0,0,0,0,0,0,0,5,110.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,8,156,02:10:20,30,0,0,0,1,1,0,0,0,0,0,0,0,0,6,107.0,0,BW,NCTL,D
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,8,157,02:11:00,30,15,1,1,0,1,0,0,0,0,0,0,0,0,3,95.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,8,158,02:11:40,40,15,0,0,1,1,0,0,0,0,1,0,0,0,2,124.0,1,B,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,8,159,02:12:06,40,30,0,0,1,1,0,0,0,0,1,0,0,0,4,110.0,0,C,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,8,160,02:12:40,40,40,1,1,0,1,0,0,0,0,0,0,0,0,9,94.0,0,BW,NCTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,8,161,02:13:30,AD,40,0,0,1,1,0,0,0,0,1,0,0,0,12,104.0,0,W,CTL,ND
Alejandro Davidovich Fokina,2023-wimbledon-1304,3,8,162,02:14:22,40,40,1,1,0,1,0,0,0,0,0,0,0,0,7,94.0,0,BW,NCTL,ND
